sigla_acao;nome_acao;snome
SULA3;SUL AMERICA;SULA3-SUL AMERICA
SULA4;SUL AMERICA;SULA4-SUL AMERICA
SULA11;SUL AMERICA;SULA11-SUL AMERICA
SUZB3;SUZANO S.A.;SUZB3-SUZANO S.A.
TAEE3;TAESA;TAEE3-TAESA
TAEE4;TAESA;TAEE4-TAESA
TAEE11;TAESA;TAEE11-TAESA
TASA3;TAURUS ARMAS;TASA3-TAURUS ARMAS
TASA4;TAURUS ARMAS;TASA4-TAURUS ARMAS
TCSA3;TECNISA;TCSA3-TECNISA
TECN3;TECHNOS;TECN3-TECHNOS
TELB4;TELEBRAS;TELB4-TELEBRAS
TEND3;TENDA;TEND3-TENDA
TESA3;TERRA SANTA;TESA3-TERRA SANTA
TEXA34;TEXAS INC;TEXA34-TEXAS INC
TGMA3;TEGMA;TGMA3-TEGMA
TIET3;AES TIETE E;TIET3-AES TIETE E
TIET4;AES TIETE E;TIET4-AES TIETE E
TIET11;AES TIETE E;TIET11-AES TIETE E
TIMP3;TIM PART S-A;TIMP3-TIM PART S-A
TOTS3;TOTVS;TOTS3-TOTVS
TRIS3;TRISUL;TRIS3-TRISUL
TRPL3;TRAN PAULIST;TRPL3-TRAN PAULIST
TRPL4;TRAN PAULIST;TRPL4-TRAN PAULIST
TSLA34;TESLA INC;TSLA34-TESLA INC
TUPY3;TUPY;TUPY3-TUPY
UCAS3;UNICASA;UCAS3-UNICASA
UGPA3;ULTRAPAR;UGPA3-ULTRAPAR
UNHH34;UNITEDHEALTH;UNHH34-UNITEDHEALTH
UNIP3;UNIPAR;UNIP3-UNIPAR
UNIP5;UNIPAR;UNIP5-UNIPAR
UNIP6;UNIPAR;UNIP6-UNIPAR
USIM3;USIMINAS;USIM3-USIMINAS
USIM5;USIMINAS;USIM5-USIMINAS
USSX34;US STEEL;USSX34-US STEEL
VALE3;VALE;VALE3-VALE
VERZ34;VERIZON;VERZ34-VERIZON
VISA34;VISA INC;VISA34-VISA INC
VIVA3;VIVARA S.A.;VIVA3-VIVARA S.A.
VIVT3;TELEF BRASIL;VIVT3-TELEF BRASIL
VIVT4;TELEF BRASIL;VIVT4-TELEF BRASIL
VLID3;VALID;VLID3-VALID
VULC3;VULCABRAS;VULC3-VULCABRAS
VVAR3;VIAVAREJO;VVAR3-VIAVAREJO
WALM34;WAL MART;WALM34-WAL MART
WEGE3;WEG;WEGE3-WEG
WFCO34;WELLS FARGO;WFCO34-WELLS FARGO
WHRL3;WHIRLPOOL;WHRL3-WHIRLPOOL
WHRL4;WHIRLPOOL;WHRL4-WHIRLPOOL
WIZS3;WIZ S.A.;WIZS3-WIZ S.A.
WLMM3;WLM IND COM;WLMM3-WLM IND COM
WLMM4;WLM IND COM;WLMM4-WLM IND COM
WSON33;WILSON SONS;WSON33-WILSON SONS
XRXB34;XEROX CORP;XRXB34-XEROX CORP
YDUQ3;YDUQS PART;YDUQ3-YDUQS PART
ABTT34;ABBOTT;ABTT34-ABBOTT
ABUD34;AB INBEV;ABUD34-AB INBEV
ACNB34;ACCENTURE;ACNB34-ACCENTURE
ADBE34;ADOBE INC;ADBE34-ADOBE INC
ADPR34;AUTOMATIC DT;ADPR34-AUTOMATIC DT
AMGN34;AMGEN;AMGN34-AMGEN
ARMT34;ARCELOR;ARMT34-ARCELOR
ASML34;ASML HOLD;ASML34-ASML HOLD
AVGO34;BROADCOM INC;AVGO34-BROADCOM INC
AWII34;ARMSTRONG;AWII34-ARMSTRONG
AXPB34;AMERICAN EXP;AXPB34-AMERICAN EXP
BALM4;BAUMER;BALM4-BAUMER
BHPG34;BHP GROUP;BHPG34-BHP GROUP
BIIB34;BIOGEN;BIIB34-BIOGEN
BKNG34;BOOKING;BKNG34-BOOKING
BLAK34;BLACKROCK;BLAK34-BLACKROCK
BMYB34;BRISTOLMYERS;BMYB34-BRISTOLMYERS
BOEI34;BOEING;BOEI34-BOEING
BONY34;BNY MELLON;BONY34-BNY MELLON
A1DM34;ARCHER DANIE;A1DM34-ARCHER DANIE
A1LX34;ALEXION PHAR;A1LX34-ALEXION PHAR
ABBV34;ABBVIE;ABBV34-ABBVIE
ATVI34;ACTIVISION;ATVI34-ACTIVISION
BILB34;BILBAOVIZ;BILB34-BILBAOVIZ
BOXP34;BOSTON PROP;BOXP34-BOSTON PROP
BRKM6;BRASKEM;BRKM6-BRASKEM
BRSR5;BANRISUL;BRSR5-BANRISUL
CATP34;CATERPILLAR;CATP34-CATERPILLAR
CEDO3;CEDRO;CEDO3-CEDRO
CHCM34;CHARTER COMM;CHCM34-CHARTER COMM
CHME34;CME GROUP;CHME34-CME GROUP
CNIC34;CANAD NATION;CNIC34-CANAD NATION
COCA34;COCA COLA;COCA34-COCA COLA
COLG34;COLGATE;COLG34-COLGATE
CRIP34;CTRIPCOM;CRIP34-CTRIPCOM
CSCO34;CISCO;CSCO34-CISCO
CSRN3;COSERN;CSRN3-COSERN
CSXC34;CSX CORP;CSXC34-CSX CORP
CTKA4;KARSTEN;CTKA4-KARSTEN
DBAG34;DEUTSCHE AK;DBAG34-DEUTSCHE AK
DDNB34;DUPONT N INC;DDNB34-DUPONT N INC
DEEC34;DEERE CO;DEEC34-DEERE CO
DEOP34;DIAGEO PL;DEOP34-DIAGEO PL
DHER34;DANAHER CORP;DHER34-DANAHER CORP
DOHL4;DOHLER;DOHL4-DOHLER
DUKB34;DUKE ENERGY;DUKB34-DUKE ENERGY
EBAY34;EBAY;EBAY34-EBAY
EQIX34;EQUINIX INC;EQIX34-EQUINIX INC
EQPA5;EQTL PARA;EQPA5-EQTL PARA
F1NI34;FIDELITY NAT;F1NI34-FIDELITY NAT
FDMO34;FORD MOTORS;FDMO34-FORD MOTORS
FDXB34;FEDEX CORP;FDXB34-FEDEX CORP
FESA3;FERBASA;FESA3-FERBASA
GDBR34;GEN DYNAMICS;GDBR34-GEN DYNAMICS
GILD34;GILEAD;GILD34-GILEAD
GMCO34;GENERAL MOT;GMCO34-GENERAL MOT
GSGI34;GOLDMANSACHS;GSGI34-GOLDMANSACHS
HONB34;HONEYWELL;HONB34-HONEYWELL
HOND34;HONDA MO;HOND34-HONDA MO
HPQB34;HP COMPANY;HPQB34-HP COMPANY
INGG34;ING GROEP;INGG34-ING GROEP
INTU34;INTUIT INC;INTU34-INTUIT INC
JDCO34;JD COM;JDCO34-JD COM
KMBB34;KIMBERLY CL;KMBB34-KIMBERLY CL
KMIC34;KINDER MORGA;KMIC34-KINDER MORGA
LILY34;LILLY;LILY34-LILLY
LMTB34;LOCKHEED;LMTB34-LOCKHEED
LOWC34;LOWES COMPA;LOWC34-LOWES COMPA
MCOR34;MOODYS CORP;MCOR34-MOODYS CORP
MDLZ34;MONDELEZ INT;MDLZ34-MONDELEZ INT
MDTC34;MEDTRONIC;MDTC34-MEDTRONIC
METB34;METLIFE INC;METB34-METLIFE INC
MMMC34;3M;MMMC34-3M
MOOO34;ALTRIA GROUP;MOOO34-ALTRIA GROUP
MOSC34;MOSAIC CO;MOSC34-MOSAIC CO
MRCK34;MERCK;MRCK34-MERCK
MTSA3;METISA;MTSA3-METISA
NEXT34;NEXTERA ENER;NEXT34-NEXTERA ENER
NIKE34;NIKE;NIKE34-NIKE
NOCG34;NORTHROP GRU;NOCG34-NORTHROP GRU
NOKI34;NOKIA CORP;NOKI34-NOKIA CORP
NVDC34;NVIDIA CORP;NVDC34-NVIDIA CORP
ORCL34;ORACLE;ORCL34-ORACLE
OXYP34;OCCIDENT PTR;OXYP34-OCCIDENT PTR
PEAB3;PAR AL BAHIA;PEAB3-PAR AL BAHIA
PEAB4;PAR AL BAHIA;PEAB4-PAR AL BAHIA
PHMO34;PHILIP MORRI;PHMO34-PHILIP MORRI
PNCS34;PNCFNANCIAL;PNCS34-PNCFNANCIAL
PNVL3;DIMED;PNVL3-DIMED
QCOM34;QUALCOMM;QCOM34-QUALCOMM
RDSA34;RD SHELL;RDSA34-RD SHELL
RIOT34;RIO TINTO;RIOT34-RIO TINTO
ROST34;ROSS STORES;ROST34-ROSS STORES
S1YF34;SYNCHRONY FI;S1YF34-SYNCHRONY FI
SAPP34;SAP SE;SAPP34-SAP SE
SCHW34;SCHWAB;SCHW34-SCHWAB
SIMN34;SIMON PROP;SIMN34-SIMON PROP
SLBG34;SCHLUMBERGER;SLBG34-SCHLUMBERGER
SNEC34;SONY CORP;SNEC34-SONY CORP
SOND6;SONDOTECNICA;SOND6-SONDOTECNICA
SPGI34;SP GLOBAL;SPGI34-SP GLOBAL
SRXM34;SIRIUS XM HD;SRXM34-SIRIUS XM HD
SSFO34;SALESFORCE;SSFO34-SALESFORCE
STZB34;CONSTELLATIO;STZB34-CONSTELLATIO
TAKP34;TAKEDAPH;TAKP34-TAKEDAPH
TELB3;TELEBRAS;TELB3-TELEBRAS
TJXC34;TJX COMPANIE;TJXC34-TJX COMPANIE
TLNC34;TELEFONIC;TLNC34-TELEFONIC
TMCO34;TOYOTAMO;TMCO34-TOYOTAMO
TMOS34;THERMFISCHER;TMOS34-THERMFISCHER
TSMC34;TAIWANSMFAC;TSMC34-TAIWANSMFAC
TSNF34;TYSON FOODS;TSNF34-TYSON FOODS
TWTR34;TWITTER;TWTR34-TWITTER
U1BE34;UBER TECH IN;U1BE34-UBER TECH IN
UBSG34;UBS GROUP;UBSG34-UBS GROUP
ULEV34;UNILEVER;ULEV34-UNILEVER
UPAC34;UNIONPACIFIC;UPAC34-UNIONPACIFIC
UPSS34;UPS;UPSS34-UPS
USBC34;US BANCORP;USBC34-US BANCORP
USIM6;USIMINAS;USIM6-USIMINAS
UTEC34;UNITED TECH;UTEC34-UNITED TECH
VFCO34;VF CORP;VFCO34-VF CORP
VRSN34;VERISIGN INC;VRSN34-VERISIGN INC
VRTX34;VERTEX PHARM;VRTX34-VERTEX PHARM
W1DC34;WESTERN DIG;W1DC34-WESTERN DIG
WGBA34;WALGREENS;WGBA34-WALGREENS
A1MD34;ADVANCED MIC;A1MD34-ADVANCED MIC
A1MT34;APPLIED MATE;A1MT34-APPLIED MATE
AALL34;AMERICAN AIR;AALL34-AMERICAN AIR
AHEB3;SPTURIS;AHEB3-SPTURIS
ARNC34;ARCONIC;ARNC34-ARCONIC
BBYY34;BEST BUY;BBYY34-BEST BUY
BMIN4;MERC INVEST;BMIN4-MERC INVEST
CEPE5;CELPE;CEPE5-CELPE
CESP5;CESP;CESP5-CESP
COCE3;COELCE;COCE3-COELCE
CRPG3;CRISTAL;CRPG3-CRISTAL
